"date","lat","lon","id","Size","BellColor","VesicleSize","VesicleColor","VesicleShape","nearest_logger_id","nearest_logger_dist"
2021-06-01,24.55948333,-81.785295,81194749,"medium","white","n/a","n/a","n/a",7,2503.2133287479
2021-06-04,24.65837651,-81.40505985,81564624,"large","n/a","small","white","round",2,30761.3884122489
2021-06-04,25.02771667,-80.50508,81577750,"medium","white","n/a","n/a","n/a",8,23697.9649706075
2021-06-05,24.7091198,-81.10899353,81742450,"large","white","n/a","n/a","n/a",2,327.709261464004
2021-06-05,25.11246435,-80.41420604,81780347,"medium","brown","n/a","n/a","n/a",8,10968.240111593
2021-06-05,25.11490295,-80.41654307,81815905,"small","brown","n/a","n/a","n/a",8,10813.1224054261
2021-06-01,23.44787542,-75.6509291,81841866,"large","n/a","small","blue","round",8,517206.980336054
2021-06-10,24.767531,-80.94588897,82429441,"medium","brown","n/a","n/a","n/a",2,17414.981381354
2021-06-10,24.72412833,-81.0232305,82432108,"medium","white","n/a","n/a","n/a",2,8546.1297687475
2020-08-21,24.75799095,-80.96841861,82766965,"large","n/a","large","brown","slender",2,14908.7701231133
2014-05-23,24.81506703,-80.82141912,82788032,"medium","brown","n/a","n/a","n/a",1,34089.6043108601
2021-06-13,24.56363759,-81.72993986,82838504,"large","brown","n/a","n/a","n/a",7,8041.73243763135
2021-06-13,24.56373833,-81.730325,82839018,"medium","blue","n/a","n/a","n/a",7,8005.36749902943
2021-06-14,25.13190305,-80.39929541,83081905,"large","n/a","small","brown","round",8,8410.89935409639
2021-06-15,24.63175833,-81.51407,83179035,"medium","blue","n/a","n/a","n/a",7,31097.0713870961
2021-06-15,24.51027176,-81.63381949,83371196,"small","blue","small","blue","round",7,18217.1982547253
2019-06-22,25.12199469,-80.41830077,83771639,"medium","blue","medium","brown","round",8,10178.4844280637
2021-06-20,25.17609873,-78.05370256,83847557,"medium","blue","n/a","n/a","n/a",6,220721.982710006
2021-06-19,25.92035442,-81.70826213,84057917,"large","brown","medium","blue","round",9,51643.6806866044
2021-06-23,24.71975833,-81.07019717,84246767,"n/a","brown","large","blue","slender",2,3798.28499169658
2021-06-08,27.49185417,-80.31392429,84302764,"large","n/a","large","blue","slender",5,2200.21932650691
2021-06-08,27.49170619,-80.31394843,84302766,"large","brown","small","blue","round",5,2185.32898844688
2021-06-08,27.49208213,-80.31402621,84302767,"small","blue","n/a","n/a","n/a",5,2215.47740669915
2018-04-24,24.62756475,-82.87283656,84690582,"medium","blue","n/a","n/a","n/a",2,178921.862455546
2021-06-30,21.16778,-86.80327,85119552,"small","blue","n/a","n/a","n/a",7,635785.914549947
2021-05-25,24.77701322,-80.9093271,85155083,"large","n/a","small","blue","round",2,21245.3321377342
2021-07-01,26.95378494,-80.07940674,85227843,"small","brown","small","blue","round",11,38223.1961863035
2021-07-03,21.1656504,-86.80178697,85531553,"large","n/a","small","blue","round",7,635806.998329437
2021-03-14,24.66988997,-81.41658984,85854381,"large","blue","small","blue","round",2,31695.3492939554
2021-07-06,24.6341746,-81.5497953,85950821,"medium","blue","n/a","n/a","n/a",7,27744.4965624662
2021-07-06,21.166592,-86.803233,85989873,"medium","brown","large","brown","slender",7,635862.94326635
2021-07-08,24.68068667,-81.23097167,86219267,"large","blue","n/a","n/a","n/a",2,13033.2424090072
2021-07-08,24.99995333,-80.54260333,86275768,"large","n/a","large","blue","slender",8,28418.9929434851
2017-04-22,20.50501634,-87.21851763,86344798,"large","white","medium","blue","slender",2,783203.535290385
2021-07-13,24.66228832,-81.49962594,86973309,"large","brown","large","blue","slender",7,33597.0988017523
2021-07-15,26.77219202,-80.04355675,87216225,"n/a","n/a","medium","blue","slender",11,17767.8248719567
2021-07-15,26.77219202,-80.04355675,87216242,"large","n/a","small","blue","round",11,17767.8248719567
2021-07-17,24.67321743,-81.39125506,87473937,"large","n/a","small","blue","round",2,29105.9180060024
2021-07-26,24.62745,-82.87367667,89237150,"large","n/a","small","brown","round",2,179007.476629158
2021-07-30,26.78321125,-80.04118418,89245506,"large","n/a","large","blue","slender",11,18982.8053750134
2021-08-05,24.68093833,-81.23034667,90045494,"large","brown","large","brown","round",2,12964.9254453593
2021-08-09,25.09364561,-80.44438805,90590118,"large","brown","n/a","n/a","n/a",8,14214.1558460479
2021-08-09,25.09364561,-80.44438805,90590119,"large","brown","medium","blue","round",8,14214.1558460479
2021-08-09,25.09364561,-80.44438805,90590136,"large","brown","large","blue","round",8,14214.1558460479
2021-04-29,24.82627834,-80.81451535,91046367,"large","brown","large","blue","round",2,32182.6574764892
2021-08-10,24.7092761,-81.109764,91467715,"large","brown","n/a","n/a","n/a",2,381.808376743902
2021-07-29,26.9775718,-80.08821376,91573440,"small","brown","n/a","n/a","n/a",11,40959.3767199998
2021-08-17,24.82671748,-80.8138984,91588251,"large","n/a","small","blue","round",2,32259.2967585226
2021-08-17,24.82665579,-80.8142307,91588638,"large","n/a","large","brown","round",2,32225.7677343553
2021-08-17,24.82685053,-80.81375863,91589849,"large","n/a","large","blue","round",2,32278.1499821667
2021-08-17,24.82685053,-80.81375863,91589853,"large","brown","large","blue","round",2,32278.1499821667
